David Amess,Southend West,Con,aye
Bob Blackman,Harrow East,Con,aye
Peter Bottomley,Worthing West,Con,aye
Graham Brady,Altrincham and Sale West,Con,aye
Aidan Burley,Cannock Chase,Con,aye
Tracey Crouch,Chatham and Aylesford,Con,aye
Richard Fuller,Bedford,Con,aye
Zac Goldsmith,Richmond Park,Con,aye
Jason McCartney,Colne Valley,Con,aye
Stephen Phillips,Sleaford and North Hykeham,Con,aye
Mark Pritchard,The Wrekin,Con,aye
Mark Reckless,Rochester and Strood,Con,aye
Simon Reevell,Dewsbury,Con,aye
Henry Smith,Crawley,Con,aye
Mike Weatherley,Hove,Con,aye
Tony Baldry,Banbury,Con,no
Andrew Bingham,High Peak,Con,no
Fiona Bruce,Congleton,Con,no
Neil Carmichael,Stroud,Con,no
Geoffrey Clifton-Brown,The Cotswolds,Con,no
Geoffrey Cox,Torridge and West Devon,Con,no
George Eustice,Camborne and Redruth,Con,no
George Freeman,Mid Norfolk,Con,no
Edward Garnier,Harborough,Con,no
Simon Hart,Carmarthen West and South Pembrokeshire,Con,no
Nick Herbert,Arundel and South Downs,Con,no
Philip Hollobone,Kettering,Con,no
Gerald Howarth,Aldershot,Con,no
Andrew Jones,Harrogate and Knaresborough,Con,no
Jeremy Lefroy,Stafford,Con,no
Anne McIntosh,Thirsk and Malton,Con,no
Nigel Mills,Amber Valley,Con,no
James Paice,South East Cambridgeshire,Con,no
Neil Parish,Tiverton and Honiton,Con,no
Jacob Rees-Mogg,North East Somerset,Con,no
Laurence Robertson,Tewkesbury,Con,no
Mark Spencer,Sherwood,Con,no
Graham Stuart,Beverley and Holderness,Con,no
Ben Wallace,Wyre and Preston North,Con,no
Bill Wiggin,North Herefordshire,Con,no
Sarah Wollaston,Totnes,Con,no
Ian Paisley Jnr,North Antrim,DUP,no
Caroline Lucas,"Brighton, Pavilion",Green,aye
Debbie Abrahams,Oldham East and Saddleworth,Lab,aye
Heidi Alexander,Lewisham East,Lab,aye
Rushanara Ali,Bethnal Green and Bow,Lab,aye
David Anderson,Blaydon,Lab,aye
Ian Austin,Dudley North,Lab,aye
Adrian Bailey,West Bromwich West,Lab,aye
William Bain,Glasgow North East,Lab,aye
Kevin Barron,Rother Valley,Lab,aye
Hugh Bayley,York Central,Lab,aye
Anne Begg,Aberdeen South,Lab,aye
Hilary Benn,Leeds Central,Lab,aye
Joe Benton,Bootle,Lab,aye
Clive Betts,Sheffield South East,Lab,aye
Roberta Blackman-Woods,City of Durham,Lab,aye
Tom Blenkinsop,Middlesbrough South and East Cleveland,Lab,aye
Paul Blomfield,Sheffield Central,Lab,aye
Ben Bradshaw,Exeter,Lab,aye
Kevin Brennan,Cardiff West,Lab,aye
Lyn Brown,West Ham,Lab,aye
Russell Brown,Dumfries and Galloway,Lab,aye
Karen Buck,Westminster North,Lab,aye
Richard Burden,"Birmingham, Northfield",Lab,aye
Alan Campbell,Tynemouth,Lab,aye
Martin Caton,Gower,Lab,aye
Ann Coffey,Stockport,Lab,aye
Jeremy Corbyn,Islington North,Lab,aye
Mary Creagh,Wakefield,Lab,aye
Stella Creasy,Walthamstow,Lab,aye
John Cryer,Leyton and Wanstead,Lab,aye
Jim Cunningham,Coventry South,Lab,aye
Nicholas Dakin,Scunthorpe,Lab,aye
Wayne David,Caerphilly,Lab,aye
Jim Dobbin,Heywood and Middleton,Lab,aye
Thomas Docherty,Dunfermline and West Fife,Lab,aye
Frank Doran,Aberdeen North,Lab,aye
Jim Dowd,Lewisham West and Penge,Lab,aye
Michael Dugher,Barnsley East,Lab,aye
Angela Eagle,Wallasey,Lab,aye
Maria Eagle,Garston and Halewood,Lab,aye
Clive Efford,Eltham,Lab,aye
Natascha Engel,North East Derbyshire,Lab,aye
Bill Esterson,Sefton Central,Lab,aye
Chris Evans,Islwyn,Lab,aye
Jim Fitzpatrick,Poplar and Limehouse,Lab,aye
Paul Flynn,Newport West,Lab,aye
Yvonne Fovargue,Makerfield,Lab,aye
Hywel Francis,Aberavon,Lab,aye
Barry Gardiner,Brent North,Lab,aye
Sheila Gilmore,Edinburgh East,Lab,aye
