Adam Afriyie,Windsor,Con,aye
James Arbuthnot,North East Hampshire,Con,aye
Tony Baldry,Banbury,Con,aye
Richard Benyon,Newbury,Con,aye
John Bercow,Buckingham,whilst Con,aye
Crispin Blunt,Reigate,Con,aye
David Burrowes,"Enfield, Southgate",Con,aye
David Cameron,Witney,Con,aye
Douglas Carswell,Harwich,Con,aye
Greg Clark,Tunbridge Wells,Con,aye
Kenneth Clarke,Rushcliffe,Con,aye
Jonathan Djanogly,Huntingdon,Con,aye
James Duddridge,Rochford and Southend East,Con,aye
Mark Field,Cities of London and Westminster,Con,aye
Edward Garnier,Harborough,Con,aye
David Gauke,South West Hertfordshire,Con,aye
Justine Greening,Putney,Con,aye
Dominic Grieve,Beaconsfield,Con,aye
Greg Hands,Hammersmith and Fulham,Con,aye
Nick Herbert,Arundel and South Downs,Con,aye
Jeremy Hunt,South West Surrey,Con,aye
Robert Key,Salisbury,Con,aye
Julie Kirkbride,Bromsgrove,Con,aye
Eleanor Laing,Epping Forest,Con,aye
Tim Loughton,East Worthing and Shoreham,Con,aye
Andrew MacKay,Bracknell,Con,aye
Malcolm Moss,North East Cambridgeshire,Con,aye
David Mundell,"Dumfriesshire, Clydesdale and Tweeddale",Con,aye
Andrew Murrison,Westbury,Con,aye
John Penrose,Weston-Super-Mare,Con,aye
Laurence Robertson,Tewkesbury,Con,aye
Andrew Tyrie,Chichester,Con,aye
Shailesh Vara,North West Cambridgeshire,Con,aye
John Whittingdale,Maldon and East Chelmsford,Con,aye
David Wilshire,Spelthorne,Con,aye
Tim Yeo,South Suffolk,Con,aye
George Young,North West Hampshire,Con,aye
David Amess,Southend West,Con,no
Michael Ancram,Devizes,Con,no
Peter Atkinson,Hexham,Con,no
Richard Bacon,South Norfolk,Con,no
Brian Binley,Northampton South,Con,no
Peter Bone,Wellingborough,Con,no
James Brokenshire,Hornchurch,Con,no
Simon Burns,West Chelmsford,Con,no
Alistair Burt,North East Bedfordshire,Con,no
William Cash,Stone,Con,no
Christopher Chope,Christchurch,Con,no
Geoffrey Clifton-Brown,Cotswold,Con,no
Patrick Cormack,South Staffordshire,Con,no
