Michael Ancram,Devizes,Con,aye
Tony Baldry,Banbury,Con,aye
John Baron,Billericay,Con,aye
Peter Bottomley,Worthing West,Con,aye
Graham Brady,Altrincham and Sale West,Con,aye
Julian Brazier,Canterbury,Con,aye
Alistair Burt,North East Bedfordshire,Con,aye
William Cash,Stone,Con,aye
Sydney Chapman,Chipping Barnet,Con,aye
Christopher Chope,Christchurch,Con,aye
Patrick Cormack,South Staffordshire,Con,aye
James Cran,Beverley and Holderness,Con,aye
Quentin Davies,Grantham and Stamford,Con,aye
David Davis,Haltemprice and Howden,Con,aye
Jonathan Djanogly,Huntingdon,Con,aye
Iain Duncan Smith,Chingford and Woodford Green,Con,aye
Michael Fallon,Sevenoaks,Con,aye
Howard Flight,Arundel and South Downs,whilst Con,aye
Adrian Flook,Taunton,Con,aye
Eric Forth,Bromley and Chislehurst,Con,aye
Mark Francois,Rayleigh,Con,aye
Roger Gale,North Thanet,Con,aye
Cheryl Gillan,Chesham and Amersham,Con,aye
James Gray,North Wiltshire,Con,aye
Dominic Grieve,Beaconsfield,Con,aye
William Hague,Richmond (Yorks),Con,aye
Nick Hawkins,Surrey Heath,Con,aye
John Hayes,South Holland and The Deepings,Con,aye
Oliver Heald,North East Hertfordshire,Con,aye
Mark Hoban,Fareham,Con,aye
John Horam,Orpington,Con,aye
Michael Howard,Folkestone and Hythe,Con,aye
Gerald Howarth,Aldershot,Con,aye
Greg Knight,East Yorkshire,Con,aye
Edward Leigh,Gainsborough,Con,aye
Julian Lewis,New Forest East,Con,aye
Ian Liddell-Grainger,Bridgwater,Con,aye
David Lidington,Aylesbury,Con,aye
Peter Lilley,Hitchin and Harpenden,Con,aye
Peter Luff,Mid Worcestershire,Con,aye
David Maclean,Penrith and The Border,Con,aye
Humfrey Malins,Woking,Con,aye
Michael Mates,East Hampshire,Con,aye
Brian Mawhinney,North West Cambridgeshire,Con,aye
Patrick McLoughlin,West Derbyshire,Con,aye
Patrick Mercer,Newark,Con,aye
Stephen O'Brien,Eddisbury,Con,aye
Eric Pickles,Brentwood and Ongar,Con,aye
Mark Prisk,Hertford and Stortford,Con,aye
John Randall,Uxbridge,Con,aye
John Redwood,Wokingham,Con,aye
Andrew Robathan,Blaby,Con,aye
Hugh Robertson,Faversham and Mid Kent,Con,aye
Laurence Robertson,Tewkesbury,Con,aye
Marion Roe,Broxbourne,Con,aye
Andrew Rosindell,Romford,Con,aye
Andrew Selous,South West Bedfordshire,Con,aye
Caroline Spelman,Meriden,Con,aye
Bob Spink,Castle Point,Con,aye
Desmond Swayne,New Forest West,Con,aye
Hugo Swire,East Devon,Con,aye
John Taylor,Solihull,Con,aye
Teddy Taylor,Rochford and Southend East,Con,aye
Andrew Turner,Isle of Wight,Con,aye
Nigel Waterson,Eastbourne,Con,aye
Angela Watkinson,Upminster,Con,aye
John Whittingdale,Maldon and East Chelmsford,Con,aye
Miss Ann Widdecombe,Maidstone and The Weald,Con,aye
Bill Wiggin,Leominster,Con,aye
John Wilkinson,Ruislip - Northwood,Con,aye
David Wilshire,Spelthorne,Con,aye
Ann Winterton,Congleton,whilst Con,aye
Nicholas Winterton,Macclesfield,Con,aye
John Bercow,Buckingham,Con,no
David Curry,Skipton and Ripon,Con,no
Stephen Dorrell,Charnwood,Con,no
Alan Duncan,Rutland and Melton,Con,no
Nigel Evans,Ribble Valley,Con,no
Michael Fabricant,Lichfield,Con,no
Mark Field,Cities of London and Westminster,Con,no
Nick Gibb,Bognor Regis and Littlehampton,Con,no
Paul Goodman,Wycombe,Con,no
Charles Hendry,Wealden,Con,no
Robert Jackson,Wantage,whilst Con,no
Boris Johnson,Henley,Con,no
Robert Key,Salisbury,Con,no
Andrew MacKay,Bracknell,Con,no
Andrew Mitchell,Sutton Coldfield,Con,no
Andrew Murrison,Westbury,Con,no
Archie Norman,Tunbridge Wells,Con,no
George Osborne,Tatton,Con,no
Richard Ottaway,Croydon South,Con,no
Richard Spring,West Suffolk,Con,no
Robert Syms,Poole,Con,no
Ian Taylor,Esher and Walton,Con,no
Tim Yeo,South Suffolk,Con,no
Richard Taylor,Wyre Forest,Ind,no
Andrew Hunter,Basingstoke,whilst Ind Con,aye
Joe Benton,Bootle,Lab,aye
David Crausby,Bolton North East,Lab,aye
Stephen Hepburn,Jarrow,Lab,aye
Nick Ainger,Carmarthen West and South Pembrokeshire,Lab,no
Bob Ainsworth,Coventry North East,Lab,no
