Peter Atkinson,Hexham,Con,aye
John Bercow,Buckingham,Con,aye
Crispin Blunt,Reigate,Con,aye
Virginia Bottomley,South West Surrey,Con,aye
Graham Brady,Altrincham and Sale West,Con,aye
Julian Brazier,Canterbury,Con,aye
Ian Bruce,South Dorset,Con,aye
Christopher Chope,Christchurch,Con,aye
Sir Patrick Cormack,South Staffordshire,Con,aye
Alan Duncan,Rutland and Melton,Con,aye
Michael Fabricant,Lichfield,Con,aye
Howard Flight,Arundel and South Downs,Con,aye
Eric Forth,Bromley and Chislehurst,Con,aye
Liam Fox,Woodspring,Con,aye
Roger Gale,North Thanet,Con,aye
James Gray,North Wiltshire,Con,aye
Dominic Grieve,Beaconsfield,Con,aye
Nick Hawkins,Surrey Heath,Con,aye
Andrew Hunter,Basingstoke,Con,aye
Peter Luff,Mid Worcestershire,Con,aye
John MacGregor,South Norfolk,Con,aye
Andrew MacKay,Bracknell,Con,aye
Humfrey Malins,Woking,Con,aye
Brian Mawhinney,North West Cambridgeshire,Con,aye
Anne McIntosh,Vale of York,Con,aye
Patrick McLoughlin,West Derbyshire,Con,aye
Richard Ottaway,Croydon South,Con,aye
John Randall,Uxbridge,Con,aye
John Redwood,Wokingham,Con,aye
Andrew Robathan,Blaby,Con,aye
Nick St Aubyn,Guildford,Con,aye
Anthony Steen,Totnes,Con,aye
Desmond Swayne,New Forest West,Con,aye
Robert Syms,Poole,Con,aye
John Taylor,Solihull,Con,aye
Michael Trend,Windsor,Con,aye
Andrew Tyrie,Chichester,Con,aye
Ann Winterton,Congleton,Con,aye
Nicholas Winterton,Macclesfield,Con,aye
Martin Bell,Tatton,Ind,both
Douglas Alexander,Paisley South,Lab,no
Joe Ashton,Bassetlaw,Lab,no
Harry Barnes,North East Derbyshire,Lab,no
Hilary Benn,Leeds Central,Lab,no
Tony Benn,Chesterfield,Lab,no
Roger Berry,Kingswood,Lab,no
Harold Best,Leeds North West,Lab,no
Christine Butler,Castle Point,Lab,no
Ronnie Campbell,Blyth Valley,Lab,no,
Roger Casale,Wimbledon,Lab,no,
David Chaytor,Bury North,Lab,no,
Eric Clarke,Midlothian,Lab,no,
Tom Clarke,Coatbridge and Chryston,Lab,no,
Harry Cohen,Leyton and Wanstead,Lab,no,
Michael Connarty,Falkirk East,Lab,no,
Frank Cook,Stockton North,Lab,no,
Robin Corbett,"Birmingham, Erdington",Lab,no,no
Jean Corston,Bristol East,Lab,no,
David Crausby,Bolton North East,Lab,no,
John Cryer,Hornchurch,Lab,no,
Claire Curtis-Thomas,Crosby,Lab,no,
Tam Dalyell,Linlithgow,Lab,no,
Keith Darvill,Upminster,Lab,no,
Valerie Davey,Bristol West,Lab,no,
Ian Davidson,Glasgow Pollok,Lab,no,
Hilton Dawson,Lancaster and Wyre,Lab,no,
Andrew Dismore,Hendon,Lab,no,
Jim Dobbin,Heywood and Middleton,Lab,no,
Brian H Donohoe,Cunninghame South,Lab,no,
Gwyneth Dunwoody,Crewe and Nantwich,Lab,no,
Maria Eagle,"Liverpool, Garston",Lab,no,no
Michael Foster,Worcester,Lab,no,
Mike Gapes,Ilford South,Lab,no,
Linda Gilroy,"Plymouth, Sutton",Lab,no,no
Llin Golding,Newcastle-under-Lyme,Lab,no,
Eileen Gordon,Romford,Lab,no,
Win Griffiths,Bridgend,Lab,no,
John Gunnell,Morley and Rothwell,Lab,no,
Ivan Henderson,Harwich,Lab,no,
Stephen Hepburn,Jarrow,Lab,no,
David Hinchliffe,Wakefield,Lab,no,
John Home Robertson,East Lothian,Lab,no,
Phil Hope,Corby,Lab,no,
Kelvin Hopkins,Luton North,Lab,no,
Joan Humble,Blackpool North and Fleetwood,Lab,no,
Alan Hurst,Braintree,Lab,no,
Helen Jackson,"Sheffield, Hillsborough",Lab,no,no
Barry Jones,Alyn and Deeside,Lab,no,
Fiona Jones,Newark,Lab,no,
Helen Jones,Warrington North,Lab,no,
Lynne Jones,"Birmingham, Selly Oak",Lab,no,no
Sally Keeble,Northampton North,Lab,no,
Alan Keen,Feltham and Heston,Lab,no,
David Kidney,Stafford,Lab,no,
Stephen Ladyman,South Thanet,Lab,no,
David Lepper,"Brighton, Pavilion",Lab,no,no
Tom Levitt,High Peak,Lab,no,
Tony Lloyd,Manchester Central,Lab,no,
Fiona Mactaggart,Slough,Lab,no,
Alice Mahon,Halifax,Lab,no,
Paul Marsden,Shrewsbury and Atcham,Lab,no,
John McDonnell,Hayes and Harlington,Lab,no,
John McFall,Dumbarton,Lab,no,
Rosemary McKenna,Cumbernauld and Kilsyth,Lab,no,
Tony McWalter,Hemel Hempstead,Lab,no,
Bill Michie,"Sheffield, Heeley",Lab,no,no
George Mudie,Leeds East,Lab,no,
