David Amess,Southend West,Con,no
Henry Bellingham,North West Norfolk,Con,no
Tim Boswell,Daventry,Con,no
Simon Burns,West Chelmsford,Con,no
Alistair Burt,North East Bedfordshire,Con,no
Christopher Chope,Christchurch,Con,no
James Clappison,Hertsmere,Con,no
Kenneth Clarke,Rushcliffe,Con,no
Tim Collins,Westmorland and Lonsdale,Con,no
Peter Duncan,Galloway and Upper Nithsdale,Con,no
Michael Fabricant,Lichfield,Con,no
Howard Flight,Arundel and South Downs,whilst Con,no
Adrian Flook,Taunton,Con,no
Eric Forth,Bromley and Chislehurst,Con,no
Mark Francois,Rayleigh,Con,no
Roger Gale,North Thanet,Con,no
Cheryl Gillan,Chesham and Amersham,Con,no
James Gray,North Wiltshire,Con,no
Chris Grayling,Epsom and Ewell,Con,no
Damian Green,Ashford,Con,no
John Gummer,Suffolk Coastal,Con,no
Nick Hawkins,Surrey Heath,Con,no
Charles Hendry,Wealden,Con,no
Michael Jack,Fylde,Con,no
Bernard Jenkin,North Essex,Con,no
Greg Knight,East Yorkshire,Con,no
Eleanor Laing,Epping Forest,Con,no
Oliver Letwin,West Dorset,Con,no
David Lidington,Aylesbury,Con,no
Peter Lilley,Hitchin and Harpenden,Con,no
Tim Loughton,East Worthing and Shoreham,Con,no
Peter Luff,Mid Worcestershire,Con,no
David Maclean,Penrith and The Border,Con,no
Brian Mawhinney,North West Cambridgeshire,Con,no
Anne McIntosh,Vale of York,Con,no
Patrick McLoughlin,West Derbyshire,Con,no
Andrew Mitchell,Sutton Coldfield,Con,no
Stephen O'Brien,Eddisbury,Con,no
Richard Page,South West Hertfordshire,Con,no
James Paice,South East Cambridgeshire,Con,no
Owen Paterson,North Shropshire,Con,no
John Randall,Uxbridge,Con,no
Andrew Robathan,Blaby,Con,no
Laurence Robertson,Tewkesbury,Con,no
Andrew Rosindell,Romford,Con,no
David Ruffley,Bury St Edmunds,Con,no
Jonathan Sayeed,Mid Bedfordshire,whilst Con,no
Caroline Spelman,Meriden,Con,no
Anthony Steen,Totnes,Con,no
Desmond Swayne,New Forest West,Con,no
Hugo Swire,East Devon,Con,no
Robert Syms,Poole,Con,no
John Taylor,Solihull,Con,no
Teddy Taylor,Rochford and Southend East,Con,no
Andrew Turner,Isle of Wight,Con,no
Andrew Tyrie,Chichester,Con,no
Angela Watkinson,Upminster,Con,no
John Whittingdale,Maldon and East Chelmsford,Con,no
Nicholas Winterton,Macclesfield,Con,no
Jeffrey M Donaldson,Lagan Valley,whilst DUP,aye
Richard Taylor,Wyre Forest,Ind,aye
Ann Winterton,Congleton,whilst Ind Con,no
Diane Abbott,Hackney North and Stoke Newington,Lab,no
Irene Adams,Paisley North,Lab,no
Bob Ainsworth,Coventry North East,Lab,no
